CiteKey	EntryType	Author	Title	Journal	Month	Year	Key	Note	BookTitle	Volume	Number	Pages	DOI	Editor	Publisher	Address	Series	HowPublished	Type	School	Url
KauAiPICDC16	inproceedings	{}{Kaufman}{}{E.},{}{Ai}{}{Z.},{}{Lee}{}{T.}	Autonomous exploration by expected information gain from probabilisitic occupancy grid mapping	NULL	December	2016	GE	NULL	Proceedings of the IEEE Conference on Simulation, Modeling, and Programming for Autonomous Robots	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeePICDC16	inproceedings	{}{Lee}{}{T.}	Optimal hybrid controls for global exponential tracking on the two-sphere	NULL	December	2016	GC	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	3331--3337	NULL	NULL	NULL	Las Vegas, NV	NULL	NULL	NULL	NULL	NULL
KulLeePAASC16	inproceedings	{}{Kulumani}{}{S.},{}{Lee}{}{T.}	Low-thrust trajectory design using reachability sets near asteroid 4769 {C}astalia	NULL	September	2016	GO	AIAA 2016-5376	Proceedings of the AIAA/AAS Astrodynamics Specialist Conference	NULL	NULL	NULL	10.2514/6.2016-5376	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KulLeeJAS19	article	{}{Kulumani}{}{S.},{}{Lee}{}{T.}	Systematic design of optimal low-thrust transfers for the three-body problem	Journal of the Astronautical Sciences	March	2019	GO	NULL	NULL	66	1	1--31	10.1007/s40295-018-00139-y	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GooLeePIICUAS16	inproceedings	{}{Goodarzi}{}{F.},{}{Lee}{}{T.}	Extended {K}alman filter on {SE(3)} for geometric control of a quadrotor {UAV}	NULL	June	2016	GE	NULL	Proceedings of the IEEE International Conference on Unmanned Aircraft Systems	NULL	NULL	1371--1380	NULL	NULL	NULL	Washington, DC	NULL	NULL	NULL	NULL	NULL
LeeITCST18	article	{}{Lee}{}{T.}	Geometric control of quadrotor {UAV}s transporting a cable-suspended rigid body	IEEE Transactions on Control Systems Technology	January	2018	GC	NULL	NULL	26	1	255--264	10.1109/TCST.2017.2656060	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GooLeeAJDSMC16	article	{}{Goodarzi}{}{F.},{}{Lee}{}{T.}	Stabilization of a rigid body payload with multiple cooperative quadrotors	ASME Journal of Dynamic Systems, Measurement, and Control	December	2016	GC	NULL	NULL	138	12	121001--121001--17	10.1115/1.4033945	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KauLeePACC16	inproceedings	{}{Kaufman}{}{E.},{}{Lee}{}{T.},{}{Ai}{}{Z.},{}{Moskowitz}{}{I.}	Bayesian occupancy grid mapping via an exact inverse sensor model	NULL	July	2016	GE	NULL	Proceedings of the American Control Conference	NULL	NULL	5709--5715	NULL	NULL	NULL	Boston, MA	NULL	NULL	NULL	NULL	NULL
KulPooPACC16	inproceedings	{}{Kulumani}{}{S.},{}{Poole}{}{C.},{}{Lee}{}{T.}	Geometric adaptive control of attitude dynamics on {SO(3)} with state inequality constraint	NULL	July	2016	GC	NULL	Proceedings of the American Control Conference	NULL	NULL	4936--4941	NULL	NULL	NULL	Boston, MA	NULL	NULL	NULL	NULL	NULL
LeePACC16	inproceedings	{}{Lee}{}{T.}	Global unscented attitude estimation via the matrix {F}isher distributions on {SO(3)}	NULL	July	2016	GE	NULL	Proceedings of the American Control Conference	NULL	NULL	4942--4947	NULL	NULL	NULL	Boston, MA	NULL	NULL	NULL	NULL	NULL
KulLeePAASC15	inproceedings	{}{Kulumani}{}{S.},{}{Lee}{}{T.}	Systematic design of optimal low-thrust transfers for the three-body problem	NULL	August	2015	GO	AAS 15-757	Proceedings of the AIAA/AAS Astrodynamics Specialist Conference	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KauLee15	unpublished	{}{Kaufman}{}{E.},{}{Lee}{}{T.}	Geometric adaptive control for aerial transportation of a rigid body	NULL	May	2015	GC	Presented at International Conference on Robotics and Automation	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeLeoPCMR15	inproceedings	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Global formulations of {L}agrangian and {H}amiltonian dynamics on embedded manifolds	NULL	September	2015	GM	NULL	Proceedings of the IMA Conference on Mathematics of Robotics	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeePCMR15	inproceedings	{}{Lee}{}{T.}	Geometric adaptive control for aerial transportation of a rigid body	NULL	September	2015	GC	NULL	Proceedings of the IMA Conference on Mathematics of Robotics	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WuKauPICDC15	inproceedings	{}{Wu}{}{T.},{}{Kaufman}{}{E.},{}{Lee}{}{T.}	Globally asymptotically stable attitude observer on {SO(3)}	NULL	December	2015	GE	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	2164--2168	NULL	NULL	NULL	Osaka, Japan	NULL	NULL	NULL	NULL	NULL
LeePICDC15	inproceedings	{}{Lee}{}{T.}	Geometric controls for a tethered quadrotor {UAV}	NULL	December	2015	GC	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	2749--2754	NULL	NULL	NULL	Osaka, Japan	NULL	NULL	NULL	NULL	NULL
LeeLeoPICDC15	inproceedings	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Global formulations of {L}agrangian and {H}amiltonian mechanics on two-spheres	NULL	December	2015	GM	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	6010--6015	NULL	NULL	NULL	Osaka, Japan	NULL	NULL	NULL	NULL	NULL
WuLeeIJCAS16	article	{}{Wu}{}{T.},{}{Lee}{}{T.}	Angular velocity observer for velocity-free attitude tracking control on {SO(3)}	International Journal of Control, Automation, and Systems	October	2016	GE	NULL	NULL	14	5	1289--1298	10.1007/s12555-015-0163-3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KauLovPASFMM15b	inproceedings	{}{Kaufman}{}{E.},{}{Lovell}{}{A.},{}{Lee}{}{T.}	Nonlinear observability measure for relative orbit determination with angles-only measurements	NULL	February	2015	GE	AAS 15-451	Proceedings of the AAS/AIAA Space Flight Mechanics Meeting	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KauLovJAS15b	article	{}{Kaufman}{}{E.},{}{Lovell}{}{T.},{}{Lee}{}{T.}	Minimum uncertainty {JPDA} filters and coalescence avoidance for multiple object tracking	Journal of the Astronautical Sciences	December	2016	GE	NULL	NULL	63	4	308--334	10.1007/s40295-016-0092-2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KauLovJAS16a	article	{}{Kaufman}{}{E.},{}{Lovell}{}{T.},{}{Lee}{}{T.}	Nonlinear observability for relative orbit determination with angles-only measurements	Journal of the Astronautical Sciences	March	2016	GE	NULL	NULL	63	1	60--80	10.1007/s40295-015-0082-9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeLevPUNCCM15	inproceedings	{}{Lee}{}{T.},{}{Leve}{}{F.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Lie group variational integrators for spacecraft with variable speed control moment gyros	NULL	July	2015	GM	NULL	Proceedings of the U.S. National Congress on Computational Mechanics	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WuLeePECC15	inproceedings	{}{Wu}{}{T.},{}{Lee}{}{T.}	Angular velocity observer on the special orthogonal group for velocity-free rigid-body attitude tracking control	NULL	July	2015	GE	NULL	Proceedings of the European Control Conference	NULL	NULL	1824--1829	NULL	NULL	NULL	Linz, Austria	NULL	NULL	NULL	NULL	NULL
DouLeeAJGCD16	article	{}{Dougherty}{}{J.},{}{Lee}{}{T.}	Monocular estimation of ground orientation for autonomous landing of a quadrotor	AIAA Journal of Guidance, Control, and Dynamics	NULL	2016	GE	NULL	NULL	39	6	1407--1416	10.2514/1.G001229	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeITAC15	article	{}{Lee}{}{T.}	Global exponential attitude tracking controls on {SO(3)}	IEEE Transactions on Automatic Control	October	2015	GC	NULL	NULL	60	10	2837--2842	10.1109/TAC.2015.2407452	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeAJDSMC15	article	{}{Lee}{}{T.}	Stochastic optimal motion planning for the attitude kinematics of a rigid body with non-gaussian uncertainties	ASME Journal of Dynamic Systems, Measurement, and Control	March	2015	GE	NULL	NULL	137	3	034502	10.1115/1.4027950	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeA14	article	{}{Lee}{}{T.}	Optimal control of partitioned hybrid systems via discrete-time {H}amilton-{J}acobi theory	Automatica	August	2014	GO	NULL	NULL	50	8	2062--2069	10.1016/j.automatica.2014.05.024	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WuLeePASFMM15	inproceedings	{}{Wu}{}{T.},{}{Lee}{}{T.}	Spacecraft attitude formation stabilization using lines-of-sight without angular velocity measurements	NULL	February	2015	GC	AAS 15-441	Proceedings of the AAS/AIAA Space Flight Mechanics Meeting	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KauLovPASFMM15	inproceedings	{}{Kaufman}{}{E.},{}{Lovell}{}{A.},{}{Lee}{}{T.}	Minimum uncertainty {JPDA} filter and coalescence avoidance performance evaluations	NULL	February	2015	GE	AAS 15-451	Proceedings of the AAS/AIAA Space Flight Mechanics Meeting	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GooLeePACC15	inproceedings	{}{Goodarzi}{}{F.},{}{Lee}{}{T.}	Dynamics and control of quadrotor {UAV}s transporting a rigid body connected via flexible cables	NULL	July	2015	GC	NULL	Proceedings of the American Control Conference	NULL	NULL	4677--4682	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeePACC15b	inproceedings	{}{Lee}{}{T.}	Collision avoidance via {V}oronoi tessellation for quadrotor {UAVs} transporting a payload	NULL	July	2015	GC	NULL	Proceedings of the American Control Conference	NULL	NULL	1842--1848	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
DaiLeePICDC14	inproceedings	{}{Dai}{}{S.},{}{Lee}{}{T.},{}{Bernstein}{}{D.}	Adaptive control of a quadrotor {UAV} transporting a cable-suspended load with unknown mass	NULL	December	2014	GC	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	6149--6154	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WuLeePICDC14	inproceedings	{}{Wu}{}{T.},{}{Lee}{}{T.}	Spacecraft position and attitude formation control using line-of-sight observations	NULL	December	2014	GC	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	970--975	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeePICDC14	inproceedings	{}{Lee}{}{T.}	Geometric control of multiple quadrotor {UAVs} transporting a cable-suspended rigid body	NULL	December	2014	GC	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	6155--6160	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LevLeePACC14	inproceedings	{}{Lee}{}{T.},{}{Leve}{}{F.}	Lagrangian mechanics and {L}ie group variational integrators for spacecraft with imbalanced reaction wheels	NULL	June	2014	GM	NULL	Proceedings of the American Control Conference	NULL	NULL	3122--3127	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GooLeePACC14	inproceedings	{}{Goodarzi}{}{F.},{}{Lee}{}{D.},{}{Lee}{}{T.}	Geometric stabilization of a quadrotor {UAV} with a payload connected by flexible cable	NULL	June	2014	GC	NULL	Proceedings of the American Control Conference	NULL	NULL	4925--4930	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
DouLeePACC14	inproceedings	{}{Dougherty}{}{J.},{}{Lee}{}{D.},{}{Lee}{}{T.}	Laser-based guidance of a quadrotor {UAV} for precise landing on an inclined surface	NULL	June	2014	GC	NULL	Proceedings of the American Control Conference	NULL	NULL	1210--1215	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LovLeePISSFD14	inproceedings	{}{Lovell}{}{T.},{}{Lee}{}{T.}	Nonlinear observability for relative satellite orbits with angles-only measurements	NULL	May	2014	GE	NULL	Proceedings of the International Symposium on Space Flight Dynamics	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KauCalPIAC14	inproceedings	{}{Kaufman}{}{E.},{}{Caldwell}{}{K.},{}{Lee}{}{D.},{}{Lee}{}{T.}	Design and development of a free-floating hexrotor {UAV} for 6-dof maneuvers	NULL	March	2014	GC	NULL	Proceedings of the IEEE Aerospace Conference	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GooLeeAJDSMC15	article	{}{Goodarzi}{}{F.},{}{Lee}{}{D.},{}{Lee}{}{T.}	Geometric adaptive tracking control of a quadrotor unmanned aerial vehicle on {SE(3)}	ASME Journal of Dynamic Systems, Measurement, and Control	September	2015	GC	NULL	NULL	137	9	NULL	10.1115/1.4030419	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GooLeeIJCAS15	article	{}{Goodarzi}{}{F.},{}{Lee}{}{D.},{}{Lee}{}{T.}	Geometric control of a quadrotor {UAV} transporting a payload connected to a quadrotor {UAV} via flexible cable	International Journal of Control, Automation, and Systems	December	2015	GC	NULL	NULL	13	6	1--13	10.1007/s12555-014-0304-0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WuFleAJGCD17	article	{}{Wu}{}{T.},{}{Flewelling}{}{B.},{}{Leve}{}{F.},{}{Lee}{}{T.}	Spacecraft attitude formation tracking using line-of-sight measurements	AIAA Journal of Guidance, Control, and Dynamics	October	2017	GC	NULL	NULL	40	10	2616--2629	10.2514/1.G001727	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeLeoAA14	article	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	High-fidelity numerical simulation of complex dynamics of tethered spacecraft	Acta Astronautica	June	2014	GM	NULL	NULL	99	1	215--230	10.1016/j.actaastro.2014.02.021	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeLeo17	book	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Global Formulation of {L}agrangian and {H}amiltonian Dynamics on Manifolds	NULL	NULL	2018	BK	NULL	NULL	NULL	NULL	NULL	10.1007/978-3-319-56953-6	NULL	Springer	NULL	NULL	NULL	NULL	NULL	NULL
McCLeeCSOR15	incollection	{}{McClamroch}{}{{N. H.}},{}{Lee}{}{T.}	Optimal flight planning for a jet aircraft mission	NULL	NULL	2015	NF	NULL	Case Studies in Operations Research	212	NULL	355--390	NULL	{}{Murty}{}{K.}	Springer	NULL	International Series in Operations Research and Management Science	NULL	NULL	NULL	NULL
KauLeePECC14	inproceedings	{}{Kaufman}{}{E.},{}{Lee}{}{T.}	Optimal joint probabilistic data association filter avoiding coalescence in close proximity	NULL	June	2014	GE	NULL	Proceedings of the European Control Conference	NULL	NULL	2709--2714	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeePICDC13	inproceedings	{}{Lee}{}{T.}	Stochastic optimal motion planning and global estimation for the attitude kinematics on {SO(3)}	NULL	December	2013	GE	NULL	Proceedings of the IEEE Conference on Decision and Control	588--593	NULL	NULL	NULL	NULL	NULL	Florence, Italy	NULL	NULL	NULL	NULL	NULL
LeeSrePICDC13	inproceedings	{}{Lee}{}{T.},{}{Sreenath}{}{K.},{}{Kumar}{}{V.}	Geometric control of cooperating multiple quadrotor {UAV}s with a suspended load	NULL	December	2013	GC	NULL	Proceedings of the IEEE Conference on Decision and Control	5510--5515	NULL	NULL	NULL	NULL	NULL	Florence, Italy	NULL	NULL	NULL	NULL	NULL
SreLeePICDC13	inproceedings	{}{Sreenath}{}{K.},{}{Lee}{}{T.},{}{Kumar}{}{V.}	Geometric control and differential flatness of a quadrotor {UAV} with a cable-suspended load	NULL	December	2013	GC	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	2269--2274	NULL	NULL	NULL	Florence, Italy	NULL	NULL	NULL	NULL	NULL
LeeKeiPIEPC13	inproceedings	{}{Lee}{}{T.},{}{Keidar}{}{M.}	Low-thrust orbital maneuver analysis for {C}ubesat with micro-cathode thruster	NULL	October	2013	GM	IEPC-2013-365	Proceedings of the International Electric Propulsion Conference	NULL	NULL	NULL	NULL	NULL	NULL	Washington, DC	NULL	NULL	NULL	NULL	NULL
WuLeePIEPC13	inproceedings	{}{Wu}{}{T.},{}{Lee}{}{T.},{}{Keidar}{}{M.}	Low-thrust attitude control for nano-satellite with micro-cathode thrusters	NULL	October	2013	GC	IEPC-2013-366	Proceedings of the International Electric Propulsion Conference	NULL	NULL	NULL	NULL	NULL	NULL	Washington, DC	NULL	NULL	NULL	NULL	NULL
LeeITCST13	article	{}{Lee}{}{T.}	Robust adaptive tracking on {SO(3)} with an application to the attitude dynamics of a quadrotor {UAV}	IEEE Transactions on Control Systems Technology	September	2013	GC	NULL	NULL	21	5	1924--1930	10.1109/TCST.2012.2209887	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CamXiePAGNCC13	inproceedings	{}{Camblor}{}{M.},{}{Xie}{}{A.},{}{Cruz}{}{G.},{}{Esteban}{}{S.},{}{Lee}{}{T.},{}{Bernstein}{}{D.}	A numerical comparison of inertia-free attitude control laws for a spacecraft with a discrete flexible mode	NULL	August	2013	GC	AIAA 2013-4562	Proceedings of the AIAA Guidance, Navigation and Control Conference	NULL	NULL	NULL	NULL	NULL	NULL	Boston, MA	NULL	NULL	NULL	NULL	NULL
GooLeePECC13	inproceedings	{}{Goodarzi}{}{F.},{}{Lee}{}{D.},{}{Lee}{}{T.}	Geometric nonlinear {PID} control of a quadrotor {UAV} on {SE(3)}	NULL	July	2013	GC	NULL	Proceedings of the European Control Conference	NULL	NULL	3845--3850	NULL	NULL	NULL	Zurich	NULL	NULL	NULL	NULL	NULL
LeePACC13	inproceedings	{}{Lee}{}{T.}	Robust global exponential attitude tracking controls on {SO(3)}	NULL	June	2013	GC	NULL	Proceedings of the American Control Conference	NULL	NULL	2103--2108	NULL	NULL	NULL	Washington, DC	NULL	NULL	NULL	NULL	NULL
WuFlePACC13	inproceedings	{}{Wu}{}{T.},{}{Flewelling}{}{B.},{}{Leve}{}{F.},{}{Lee}{}{T.}	Spacecraft relative attitude formation tracking on {SO(3)} based on line-of-sight measurements	NULL	June	2013	GC	NULL	Proceedings of the American Control Conference	NULL	NULL	4827--4832	NULL	NULL	NULL	Washington, DC	NULL	NULL	NULL	NULL	NULL
LeeLeoAJC13	article	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Nonlinear robust tracking control of a quadrotor {UAV} on {SE(3)}	Asian Journal of Control	March	2013	GC	NULL	NULL	15	2	391--408	10.1002/asjc.567	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KolLeeICSM10	article	{}{Kolmanovsky}{}{I.},{}{Lee}{}{T.},{}{Sanyal}{}{A.},{}{Shen}{}{J.}	Harrisfest [conference reports]	IEEE Control Systems Magazine	October	2010	EX	NULL	NULL	NULL	NULL	81--83	10.1109/MCS.2010.937816	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeLeoPCRIC12	misc	{}{Lee}{}{T.},{}{Leok}{}{M.}	Computational geometric uncertainty propagation and global estimation for {H}amiltonian systems on a {L}ie group	NULL	July	2012	GE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Proceedings of the NSF CMMI Research and Innovation Conference	NULL	NULL	NULL
LeeLeoPICDC10	inproceedings	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Geometric tracking control of a quadrotor {UAV} on {SE(3)}	NULL	December	2010	GC	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	5420--5425	NULL	NULL	NULL	Atlanta, GA	NULL	NULL	NULL	NULL	NULL
FerChaPICDC11	inproceedings	{}{Fernando}{}{T.},{}{Chandiramani}{}{J.},{}{Lee}{}{T.},{}{Gutierrez}{}{H.}	Robust adaptive geometric tracking controls on {SO(3)} with an application to the attitude dynamics of a quadrotor {UAV}	NULL	December	2011	GC	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	7380--7385	NULL	NULL	NULL	Orlando, FL	NULL	NULL	NULL	NULL	NULL
LeeLeoND11	article	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Computational dynamics of a 3{D} elastic string pendulum attached to a rigid body and an inertially fixed reel mechanism	Nonlinear Dynamics	April	2011	GM	NULL	NULL	64	1-2	97--115	10.1007/s11071-010-9849-5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeLeoPACC11	inproceedings	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Geometric numerical integration for complex dynamics of tethered spacecraft	NULL	June	2011	GM	NULL	Proceedings of the American Control Conference	NULL	NULL	1885--1891	NULL	NULL	NULL	San Francisco, CA	NULL	NULL	NULL	NULL	NULL
LeeLeoPCRIC11	misc	{}{Lee}{}{T.},{}{Leok}{}{M.}	Computational geometric uncertainty propagation for {H}amiltonian systems on a {L}ie group	NULL	February	2011	GE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Proceedings of the NSF CMMI Research and Innovation Conference	NULL	NULL	NULL
LeeLeoPICDC11	inproceedings	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Stable manifolds of saddle points for pendulum dynamics on {S2} and {SO(3)}	NULL	December	2011	GM	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	3915--3921	NULL	NULL	NULL	Orlando, FL	NULL	NULL	NULL	NULL	NULL
LeeLeoPWCIFAC11	inproceedings	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Geometric tracking control of a quadrotor {UAV} for extreme maneuverability	NULL	August	2011	GC	NULL	Proceedings of the World Congress of the International Federation of Automatic Control	NULL	NULL	6337--6342	NULL	NULL	NULL	Milano, Italy	NULL	NULL	NULL	NULL	NULL
LeePACC11	inproceedings	{}{Lee}{}{T.}	Geometric tracking control of the attitude dynamics of a rigid body on {SO(3)}	NULL	June	2011	GC	NULL	Proceedings of the American Control Conference	NULL	NULL	1200--1205	NULL	NULL	NULL	San Francisco, CA	NULL	NULL	NULL	NULL	NULL
LeeLeoPACC12	inproceedings	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Nonlinear robust tracking control of a quadrotor {UAV} on {SE(3)}	NULL	June	2012	GC	NULL	Proceedings of the American Control Conference	NULL	NULL	4649--4654	NULL	NULL	NULL	Montreal, Canada	NULL	NULL	NULL	NULL	NULL
LeeLeoPICDC12	inproceedings	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Dynamics and control of a chain pendulum on a cart	NULL	December	2012	GC	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	2502--2508	NULL	NULL	NULL	Maui, HI	NULL	NULL	NULL	NULL	NULL
LeePACC12	inproceedings	{}{Lee}{}{T.}	Relative attitude control of two spacecraft on {SO(3)} using line-of-sight observations	NULL	June	2012	GC	NULL	Proceedings of the American Control Conference	NULL	NULL	167--172	NULL	NULL	NULL	Montreal, Canada	NULL	NULL	NULL	NULL	NULL
LeePICDC12	inproceedings	{}{Lee}{}{T.}	Discrete-time optimal feedback control via the discrete {H}amilton-{J}acobi theory with applications to hybrid systems	NULL	December	2012	GO	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	7055--7062	NULL	NULL	NULL	Maui, HI	NULL	NULL	NULL	NULL	NULL
LeeSCL12	article	{}{Lee}{}{T.}	Exponential stability of an attitude tracking control system on {SO(3)} for large-angle rotational maneuvers	Systems and Control Letters	January	2012	GC	NULL	NULL	61	1	231--237	10.1016/j.sysconle.2011.10.017	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SanLeeSCL08	article	{}{Sanyal}{}{A.},{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Global optimal attitude estimation using uncertainty ellipsoids	Systems and Control Letters	March	2008	GE	NULL	NULL	57	3	236--245	10.1016/j.sysconle.2007.08.014	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeLeoPICDC08	inproceedings	{}{Lee}{}{Taeyoung},{}{Leok}{}{Melvin},{}{McClamroch}{}{{N. H.}}	Global symplectic uncertainty propagation on {SO(3)}	NULL	December	2008	GE	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	61--66	NULL	NULL	NULL	Cancun, Mexico	NULL	NULL	NULL	NULL	NULL
LeeLeoIJNME09	article	{}{Lee}{}{Taeyoung},{}{Leok}{}{Melvin},{}{McClamroch}{}{{N. H.}}	Lagrangian mechanics and variational integrators on two-spheres	International Journal for Numerical Methods in Engineering	August	2009	GM	NULL	NULL	79	9	1147--1174	10.1002/nme.2603	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeLeoCISSIDRWB08	article	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Computational geometric optimal control of rigid bodies	Communications in Information and Systems, special issue dedicated to R. W. Brockett	NULL	2008	GO	NULL	NULL	8	4	445--472	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeLeoCMDA07	article	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Lie group variational integrators for the full body problem in orbital mechanics	Celestial Mechanics and Dynamical Astronomy	June	2007	GM	NULL	NULL	98	2	121--144	10.1007/s10569-007-9073-x	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeLeoCMAME07	article	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Lie group variational integrators for the full body problem	Computer Methods in Applied Mechanics and Engineering	May	2007	GM	NULL	NULL	196	NULL	2907--2924	10.1016/j.cma.2007.01.017	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeKimJCASE00	article	{}{Lee}{}{T.},{}{Kim}{}{Youdan}	Nonlinear adaptive flight control using neural networks and backstepping	Journal of Control, Automation and Systems Engineering	NULL	2000	NF	NULL	NULL	6	12	1070--1078	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeKimJGCD01	article	{}{Lee}{}{T.},{}{Kim}{}{Youdan}	Nonlinear adaptive flight control using backstepping and neural networks controller	AIAA Journal of Guidance, Control, and Dynamics	July	2001	NF	NULL	NULL	24	4	675--682	10.2514/2.4794	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeeLeoJDCS08	article	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Optimal attitude control of a rigid body using geometrically exact computations on {SO(3)}	Journal of Dynamical and Control Systems	October	2008	GO	NULL	NULL	14	4	465--487	10.1007/s10883-008-9047-7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
